Title,Summary,Genre,Feature
비밀의 숲,"공감 능력을 잃은 검사가 살인 사건을 파헤친다. 검사는 열혈 여형사의 도움을 받으며, 수사를 방해하는 부패한 정치 상황에 맞선다.","TV 드라마·범죄,한국 드라마,TV 프로그램·스릴러,TV 드라마",긴장감 넘치는
사이코지만 괜찮아,"사랑 따위, 못 느끼면 어때. 태어날 때부터 온기가 없는 동화 작가. 그녀가 사랑을 외면하는 정신 병동 보호사와 마주친다. 이상하지만 꽤 괜찮은, 힐링 로맨틱 코미디.","TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디","엉뚱 기발,가슴 뭉클,풍부한 감정,로맨스"
킹덤,"병든 왕을 둘러싸고 흉흉한 소문이 떠돈다. 어둠에 뒤덮인 조선, 기이한 역병에 신음하는 산하. 정체 모를 악에 맞서 백성을 구원할 희망은 오직 세자뿐이다.","웹툰 원작 한국 드라마,TV 프로그램·정치,한국 드라마,시대물,TV 프로그램·스릴러,TV 드라마,TV 프로그램·액션 & 어드벤처","폭력,흥미진진"
슬기로운 의사생활,"탄생과 죽음이 공존하는, 인생의 축소판이라고 불리는 병원에서 특별한 하루하루를 살아가는 사람들의 이야기를 그린 드라마","한국 드라마,TV 드라마,TV 프로그램·코미디",가슴 뭉클
인간수업,"학교 안에서는 모범생, 학교 밖에서는 영리한 범죄자. 그의 비밀스러운 이중생활은 완벽했다. 같은 반 친구가 그의 위험한 사업에 관심을 갖기 전까지는.","TV 드라마·범죄,한국 드라마,TV 프로그램·10대,TV 드라마",다크
모범형사,"내가 직접 잡아넣은 사형수가 무죄라면? 그 억울한 누명 뒤에 사실을 은폐하려는 막강한 권력이 있다면? 그냥 조용히 묻어가는 게 상책일 것이다. 하지만 모범 형사는 달랐다. 어떤 결과가 기다리든, 정의는 바로 세워야 하기에.","TV 드라마·범죄,한국 드라마,TV 프로그램·스릴러,TV 드라마",긴장감 넘치는
사랑의 불시착,"뜻밖의 돌풍은 행운일까, 불운일까. 패러글라이딩 사고로 북한에 불시착한 재벌 딸. 그곳에서 깐깐한 북한군 장교를 만난다. 이 와중에 피어오르는 낯선 감정은 뭐지?","TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디,인기 로맨스","가슴 뭉클,로맨스"
이태원 클라쓰,"활력과 욕망이 넘치는 이태원. 한 전과자와 친구들이 꿈을 위해 뭉쳤다. 일단 시작은 술집 창업. 불합리한 세상, 막강한 적이 앞길을 막으면? 기를 쓰고 맞서 싸워야지!","웹툰 원작 한국 드라마,한국 드라마,사회 문제·TV 드라마,TV 드라마","감동,풍부한 감정"
달의 연인 - 보보경심 려,"1,000년을 거슬러 고려 시대로 시간 여행을 하게 된 21세기 여인. 궁중의 암투에 휘말리고 여러 황자들의 사랑을 한몸에 받게 된다.","TV 드라마·로맨스,도서 원작의 TV 프로그램,한국 드라마,시대물,TV 드라마","풍부한 감정,로맨스"
미스터 션샤인,"1871년, 한 소년이 미국 군함을 타고 조선을 떠난다. 세월이 흐르고, 미군 장교가 되어 조국으로 돌아온 남자. 격변하는 역사 속에서, 그는 운명을 뒤흔들 여인을 만난다.","TV 드라마·로맨스,TV 프로그램·정치,한국 드라마,시대물,TV 드라마,인기 로맨스","풍부한 감정,흥미진진,로맨스"
나의 아저씨,"순리대로 살지만 소년의 순수성과 어른의 지혜를 갖춘 아저씨가 있다. 그런데 이상한 애가 그를 흔든다. 거친 인생을 살아온 무모한 스물한 살 그녀가. 어느덧 우정이 움트고, 둘은 서로에게 안식처가 된다. 이 차가운 세상에서.","한국 드라마,TV 드라마","감상적,잔잔한 분위기,감동,풍부한 감정"
응답하라 1988,"1988년, 쌍문동 골목길. 즐거움과 아픔을 함께 나누던 다섯 친구가 있다. 동네에서 함께 자라 서로의 인생을 함께한 청춘들. 이들을 중심으로 다섯 가족의 따뜻한 이야기가 펼쳐진다.","TV 드라마·로맨스,TV 프로그램·코미디·로맨스,한국 드라마,TV 드라마,TV 프로그램·코미디,인기 로맨스","가슴 뭉클,로맨스"
슬기로운 감빵생활,"메이저리그 대신 감옥으로 직행한 슈퍼스타. 판이 바뀌고 룰이 바뀐 막다른 골목, 감빵에서 살아남을 방법은 단 한 가지. 그저 배워라! 하나에서 열까지.","한국 드라마,TV 드라마","위트,풍부한 감정"
도깨비,"신부를 찾아야 죽을 수 있는 남자. 불멸의 고통에 힘겹던 어느 날, 신부라고 주장하는 여학생이 나타났다. 대책 없이 그를 소환하고 대책 없이 삶에 파고드는 소녀. 정녕 신부를 만난 것이냐. 그럼 이제 소멸할 수 있는 것이냐.","TV 프로그램·판타지,TV 드라마·로맨스,한국 드라마,TV 드라마,인기 로맨스",로맨스
