Title,Summary,Genre,Feature
루시퍼,지긋지긋한 지옥 생활을 청산하고 은퇴를 선언한 악마. LA로 와 나이트클럽을 열고 인생을 즐기던 어느 날 강력계 형사를 만나면서 새로운 삶을 살기 시작한다.,"TV 드라마·범죄,TV 프로그램·판타지,TV 프로그램·만화 원작,TV 드라마,미국 TV 프로그램",흥미진진
기묘한 이야기,"인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다.","TV 프로그램·SF,TV 프로그램·10대,TV 프로그램·스릴러,TV 프로그램·호러,미국 TV 프로그램","불길한 기운,무서운 이야기,흥미진진"
엄브렐러 아카데미,"초능력을 가진 남매들이 아버지의 장례식에서 다시 모인다. 그들 앞에 드러나는 가족의 비밀과 인류의 미래. 종말을 막아야 한다. 애증을 접고, 모두 손을 잡아라.","TV 프로그램·SF,TV 프로그램·만화 원작,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","현실 붕괴,색다른 이야기,엉뚱 기발"
프렌즈,"90년대 뉴욕의 청춘, 어쩌면 오늘을 살아가는 우리 모두의 이야기! 깨알 웃음과 찡한 감동이 함께하는 여섯 친구의 좌충우돌 성장기가 맨해튼 한복판에서 지금 펼쳐진다.","시트콤,TV 프로그램·코미디,미국 TV 프로그램",위트
워킹데드,"눈을 떠보니 세상은 좀비가 점령한 전쟁터. 어디로 갈 것인가, 어떻게 생존할 것인가. 현실이 지옥일 때 희망은 의미가 있는가. 살아남은 자들의 사투가 펼쳐진다.","TV 프로그램·만화 원작,TV 드라마,TV 프로그램·호러,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","불길한 기운,무서운 이야기,다크,긴장감 넘치는"
프리즌 브레이크,형이 억울하게 살인 누명을 쓰고 수감되자 구조 공학자인 주인공은 악명 높은 폭스 리버 주립 교도소에서 형을 탈옥시키기로 결심한다.,"TV 드라마·범죄,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","다크,긴장감 넘치는"
위쳐,"세계적인 판타지 대작이 넷플릭스 시리즈로 다시 태어난다. 어둠과 위험의 세계, 진실은 어디에 있을까. 운명으로 묶인 그들. 위쳐와 마법사, 홀로 남은 공주의 싸움이 시작된다.","TV 프로그램·판타지,도서 원작의 TV 프로그램,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처",흥미진진
모던 패밀리,에미상을 받은 이 시트콤은 로스앤젤레스에 사는 제이 프리쳇과 각양각색의 가족이 일상에서 수많은 난관을 만나고 해결해 나가는 이야기를 그린다.,"시트콤,TV 프로그램·코미디,미국 TV 프로그램","위트,가슴 뭉클"
투 핫!,"전 세계에서 최고로 섹시한 남녀가 모였다. 그것도 환상적인 해변에. 하지만 미안하다, 반전이 있다. 거금 10만 달러의 상금을 손에 쥐고 싶다면, 섹스는 포기해야 한다.","결혼식 & 로맨스/ 리얼리티/ TV,리얼리티 TV·컴퍼티션,리얼리티 TV,미국 TV 프로그램,버라이어티 예능,리얼리티, 버라이어티 & 토크쇼","스캔들,관능적,은밀한"
굿 플레이스,"살아생전 자기밖에 모르던 그녀. 착하게 살아야 천당 간다더니 그 반대가 돼버렸다! 사후 세계의 ‘굿 플레이스’에 남기 위한, 악녀의 개과천선 프로젝트 하나 둘 셋!","시트콤,TV 프로그램·코미디,미국 TV 프로그램","위트,엉뚱 기발"
원헌드레드,"지구가 핵전쟁으로 황폐해지고 한 세기의 시간이 흐른 뒤, 우주 정거장에 살던 사람들 100명이 인류의 생존 가능성을 알아내기 위해 지구로 보내진다.","TV 프로그램·SF,TV 프로그램·정치,도서 원작의 TV 프로그램,TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처",폭력
지정생존자,가공할 테러로 삽시간에 아수라장이 된 워싱턴. 이제 미합중국의 운명이 하위 각료 한 사람의 손에 달렸다. 긴장을 늦출 수 없는 정치 스릴러.,"TV 드라마·범죄,TV 프로그램·정치,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","긴장감 넘치는,흥미진진"
가십걸,맨해튼의 사립학교에 다니는 특권층 학생들은 만사에 제멋대로 행동하며 부유층의 특권을 누린다. 그러나 한 익명의 블로거가 이들의 행적을 사사건건 주시하고 있다.,"도서 원작의 TV 프로그램,TV 프로그램·10대,TV 드라마,미국 TV 프로그램","긴장감 넘치는,흥미진진"
빅뱅 이론,"한집에 모여 앉아 싱거운 농담과 게임으로 소일하던 과학도 넷. 물리학이 세상의 전부인 이들에게 입자가속기를 능가하는 새 관심사가 등장했다. 괴짜들의 우주에 대폭발을 가져온 인물은, 앞집에 이사 온 섹시한 배우 지망생!","시트콤,TV 프로그램·코미디,미국 TV 프로그램",엉뚱 기발
오렌지 이즈 더 뉴 블랙,상류층 뉴요커가 과거의 범죄에 발목을 잡힌다. 그녀가 여성 교도소에 수감되면서 벌어지는 일들을 그린 시리즈. 드라마 《위즈》의 제작자가 내놓은 에미상 수상작이다.,"도서 원작의 TV 프로그램,TV 드라마,TV 프로그램·코미디,미국 TV 프로그램",위트
스파르타쿠스,투기장에서 잔혹한 죽음을 맞을 운명이었던 트라키아의 전사 스파르타쿠스. 자신의 목숨을 노리는 사형 집행자들을 모조리 물리치고 노예 검투사로 부활한다.,"TV 드라마,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","관능적,폭력"
슈츠,"뜻밖의 행운일까, 아니면 뛰어난 재능일까. 뉴욕의 거대 로펌에 들어간 대학 중퇴 청년. 엘리트 변호사와 의기투합한 그가 시시하고 따분한 세상을 상대로 소송을 건다.","TV 드라마,TV 프로그램·코미디,미국 TV 프로그램",위트
마이클 조던: 더 라스트 댄스,농구 황제 마이클 조던과 시카고 불스를 다시 만난다. 1997-98 시즌의 미공개 영상을 포함한 이들의 1990년대 황금시대. 열정으로 가득한 승리의 연대기가 베일을 벗는다.,"사회 & 문화 다큐멘터리,다큐멘터리·스포츠,미국 TV 프로그램,다큐시리즈","기분 좋아지는 시간,흥미진진"
Breaking Bad,"말기 암 진단이 그를 범죄의 세계로 밀어 넣었다. 아니, 그런 줄 알았다. 제자와 함께 메스를 제조하기로 한 것은 순전히 가족을 지키려는 결정이었건만, 악과 타협한 그 순간, 그는 다가올 거대한 제국을 선택한 것이었다.","TV 드라마·범죄,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","폭력,다크,긴장감 넘치는"
너의 모든 것,"마음이 끌리는 사람에게 다가가기 위해서라면, 무슨 짓이든 할 수 있다. 위험한 매력의 소유자, 집착의 끝을 보여주는 남자. 그의 소름 끼치는 로맨스가 시작된다.","TV 드라마·범죄,도서 원작의 TV 프로그램,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램","다크,긴장감 넘치는"
플래시,혼수상태에서 깨어난 후 놀라운 능력을 갖게 된 과학수사 전문가가 도시를 위협하는 세력과 맞서 싸운다는 내용의 라이브 액션 슈퍼히어로물.,"TV 프로그램·SF,TV 프로그램·만화 원작,미국 TV 프로그램,TV 프로그램·액션 & 어드벤처","아드레날린 폭발,흥미진진"
블랙 리스트,"악명 높은 지명 수배자가 FBI에 스스로 투항한 후 다른 악당들의 검거에 도움을 주겠다고 제안하고, 신입 프로파일러 엘리자베스 킨을 파트너로 해 달라는 조건을 건다.","TV 드라마·범죄,TV 프로그램·스릴러,TV 드라마,미국 TV 프로그램",흥미진진
브루클린 나인-나인,"경찰의 명예를 중시하는 원칙주의자 홀트 서장. 그 아래 재능은 물론 꼼수, 공갈, 운까지 총동원해서 어떻게든 사건을 해결해내는 듬직한(?) 형사들이 있는 곳. 브루클린 99 관할 경찰서에 오신 것을 환영합니다!","시트콤,TV 프로그램·코미디,미국 TV 프로그램",푼수 캐릭터
